home_id,away_id,form_home,form_away,standing_home,standing_away,h2h_home_wins,h2h_away_wins,result
3081,102,0,0,18,14,1,1,1
164,3073,0,0,3,6,1,0,1
3091,3100,0,0,20,10,1,0,1
84,141,0,0,1,2,0,1,0
3085,3075,0,0,11,17,0,1,-1
3077,88,0,0,20,5,2,0,1
3071,3085,0,0,4,11,1,1,1
3074,3091,0,0,20,20,1,1,-1
3100,3089,0,0,10,15,1,1,-1
3075,84,0,0,17,1,0,2,-1
102,3088,0,0,14,19,2,0,1
3086,3077,0,0,12,20,1,1,-1
3073,80,0,0,6,8,0,2,-1
88,3429,0,0,5,9,2,0,1
3079,164,0,0,13,3,1,1,1
141,3081,0,0,2,18,1,1,-1
3088,3075,0,0,19,17,2,0,1
3429,3086,0,0,9,12,1,0,1
3091,88,0,0,20,5,0,2,-1
80,3074,0,0,8,20,2,0,1
3089,102,0,0,15,14,1,1,1
3077,3073,0,0,20,6,2,0,1
3085,141,0,0,11,2,1,0,1
164,3071,0,0,3,4,2,0,1
84,3100,0,0,1,10,2,0,1
3081,3079,0,0,18,13,1,0,0
3075,3091,0,0,17,20,1,0,0
3100,80,0,0,10,8,0,2,-1
88,3085,0,0,5,11,2,0,1
3073,3088,0,0,6,19,0,1,0
102,164,0,0,14,3,0,1,0
3086,3089,0,0,12,15,1,0,1
141,3429,0,0,2,9,2,0,1
3071,84,0,0,4,1,0,2,-1
3074,3081,0,0,20,18,0,1,0
3079,3077,0,0,13,20,1,0,0
3088,3100,0,0,19,10,0,2,-1
3085,3073,0,0,11,6,1,0,0
3091,3079,0,0,20,13,1,1,1
3089,141,0,0,15,2,0,2,-1
3429,3074,0,0,9,20,2,0,1
164,3086,0,0,3,12,1,0,1
84,88,0,0,1,5,1,0,1
80,3075,0,0,8,17,2,0,1
3081,3071,0,0,18,4,0,0,0
3077,102,0,0,20,14,0,2,-1
3074,3088,0,0,20,19,0,1,-1
3100,3091,0,0,10,20,0,1,0
3073,164,0,0,6,3,0,1,0
3079,3429,0,0,13,9,1,0,1
3075,3085,0,0,17,11,1,0,0
102,3081,0,0,14,18,1,1,1
88,3077,0,0,5,20,0,2,-1
141,84,0,0,2,1,1,0,1
3071,3089,0,0,4,15,1,0,0
3086,80,0,0,12,8,0,2,-1
3077,3086,0,0,20,12,1,1,-1
164,3079,0,0,3,13,1,1,1
3085,3071,0,0,11,4,1,1,1
84,3075,0,0,1,17,2,0,1
3091,3074,0,0,20,20,1,1,-1
80,3073,0,0,8,6,2,0,1
3089,3100,0,0,15,10,1,1,-1
3081,141,0,0,18,2,1,1,-1
3088,102,0,0,19,14,0,2,-1
3429,88,0,0,9,5,0,2,-1
3086,84,0,0,12,1,0,2,-1
3075,141,0,0,17,2,0,2,-1
3085,3088,0,0,11,19,0,2,-1
80,88,0,0,8,5,0,0,0
3100,3071,0,0,10,4,0,1,0
3089,3081,0,0,15,18,1,1,1
164,3077,0,0,3,20,0,2,-1
3091,102,0,0,20,14,0,2,-1
3074,3079,0,0,20,13,0,1,-1
